2026/02/08 18:14:45 http: TLS handshake error from [::1]:57401: client sent an HTTP request to an HTTPS server
2026/02/09 10:23:18 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 1.7298ms
2026/02/09 10:23:18 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 12.812ms
2026/02/09 10:23:18 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 571.8µs
2026/02/09 10:23:18 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 2.2317ms
2026/02/09 10:23:18 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 0s
2026/02/09 10:23:19 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 3.0336ms
2026/02/09 10:23:19 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 589.6µs
2026/02/09 10:23:19 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 1.4864ms
2026/02/09 10:23:19 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 530.5µs
2026/02/09 10:23:19 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 1.1991ms
2026/02/09 10:23:26 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 6.3166ms
2026/02/09 10:23:28 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 2.4173ms
2026/02/09 10:23:28 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 2.0529ms
2026/02/09 10:23:29 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 519.2µs
2026/02/09 10:23:29 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 566.2µs
2026/02/09 10:23:30 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.4983ms
2026/02/09 10:23:30 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 12.487ms
2026/02/09 10:23:32 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 512.8µs
2026/02/09 10:23:33 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 693.9µs
2026/02/09 10:23:34 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 672.6µs
2026/02/09 10:23:34 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 2.1225ms
2026/02/09 10:23:34 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 2.1367ms
2026/02/09 10:23:34 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 11.0735ms
2026/02/09 10:23:34 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 12.9698ms
2026/02/09 10:23:35 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 12.1786ms
2026/02/09 10:23:35 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 611.3µs
2026/02/09 10:23:35 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 7.5397ms
2026/02/09 10:23:35 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 12.6261ms
2026/02/09 10:23:35 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 7.3932ms
2026/02/09 10:23:35 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.7211ms
2026/02/09 10:23:35 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 13.1244ms
2026/02/09 10:23:36 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 2.1276ms
2026/02/09 10:23:36 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 19.5891ms
